,Artist,Lyrics,Song
30,Red Hot Chili Peppers,"['Somebody hooted and they hollered can I buy a vowel', ""Sometimes I feel like I'm a sentimental trooper\nShe cried so hard, you know she looked like Alice Cooper"", 'Robots are my next of kin', ""I'm kissing high and low\nOur bodies like two dominoes\nCan I come and get you when I hit you in your party clothes\nLet's turn this cosplay holiday, what we obey\nAnd now we're welcoming each other to this cabaret""]",Go Robot
31,The Revivalists,[],Wish I Knew You
32,Panic! At The Disco,"['Caught in a landslide, no escape from reality', 'I see a little silhouetto of a man\nScaramouche, Scaramouche, will you do the Fandango', 'Bismillah!']",Bohemian Rhapsody
33,COIN,"['Caffeine, small talk', 'plastic weather', 'discussing current events', ""I'll take my time\nI'm not the forward thinker"", 'Oh, why you gotta be so talkative?', 'Tightrope across the table', 'Red velvet under pressure', 'Blah blah, green eyes', ""Silence is golden, and you've got my hopes up"", 'No hesitation, what are we waiting for?', 'Honey, come']",Talk Too Much
34,Metallica,"['Blacked out\nPop queen, amphetamine\nThe screams crashed into silence', 'Tapped out\nDoused in the gasoline\nThe high times going timeless', 'Decadence\nDeath of the innocence\nThe pathway starts to spiral', 'Infamy\nAll for publicity\nDestruction going viral', 'Light it up\nAh, light it up\nAnother hit erases all the pain', 'Bulletproof\nAh, kill the truth\nYou’re falling, but you think you’re flying high\nHigh again', 'Sold your soul\nBuilt a higher wall\nYesterday\nNow you’re thrown away\nSame rise and fall\nWho cares at all?\nSeduced by fame\nA moth into the flame', 'Fame is the murderer\nSeduce you into ruin', 'Light it up\nAh, light it up\nAnother hit erases all the pain', 'Sold your soul\nBuilt a higher wall\nYesterday\nNow you’re thrown away\nSame rise and fall\nWho cares at all?\nSeduced by fame\nA moth into the flame', 'Sold your soul\nBuilt a higher wall\nYesterday\nNow you’re thrown away\nSame rise and fall\nWho cares at all?\nSeduced by fame\nA moth into the flame']",Moth Into Flame
35,Florence + The Machine,"[""[Verse 1]\nWhen the night has come\nAnd the land is dark\nAnd the moon is the only light we'll see\nNo, I won't be afraid\nOh, I won't be afraid\nJust as long as you stand, stand by me"", '[Chorus]\nSo darling, darling stand by me\nOh, stand by me\nOh, stand now\nStand by me\nStand by me', '[Chorus]\nSo darling, darling stand by me\nOh, stand by me\nOh, stand now\nStand by me\nStand by me', '[Chorus]\nAnd darling, darling stand by me\nOh, stand by me\nOh, stand\nStand by me\nStand by me', 'Oh, stand by me\nOh, stand now\nStand by me', '[Chorus]\nAnd darling, darling stand by me\nOh, stand by me\nOh, stand now\nStand by me', 'Oh, stand by me\nOh, stand now\nStand by me\nStand by me']",Stand By Me
36,Thrice,"['I keep swinging my hand through a swarm of bees cause I\nI want honey on my table\nI keep swinging my hand through a swarm of bees cause I\nI want honey on my table', 'But I never get it right\nNo, I never get it right', ""I keep swinging my hand through a swarm of bees\nI can't understand why they're stinging me\nBut I'll do what I want\nI'll do what I please\nI'll do it again till I've got what I need\n\nI'll rip and smash through the hornet's nest\nDo you understand I deserve the best?\nAnd I'll do what I want\nI'll do what I please\nI'll do it again till I've got what I need"", 'I try to stick this pin through a butterfly cause I\nI like all the pretty colors\nIt just fell apart, so I flung it in the fire\nTo burn with all the others', 'Cause I never get it right\nNo, I never get it right', ""I keep swinging my hand through a swarm of bees\nI can't understand why they're stinging me\nBut I'll do what I want\nI'll do what I please\nI'll do it again till I've got what I need\n\nI'll rip and smash through the hornet's nest\nDo you understand I deserve the best?\nTill you do what I want\nI'll do what I please\nI'll do it again till I've got what I need"", ""This time, I'll get it right\nThis time, I'll get it right\nIt's gonna be this time, I'll get it right\nGod, let it be this time I get it right"", 'So I\'m cutting that branch off the cherry tree\nSinging, ""This will be my victory,""\nThen I\nSee them coming after me\nAnd they\'re following me across the sea\nAnd now they\'re stinging my friends and my family\nAnd I\nDon\'t know why this is happening', ""But I'll do what I want\nI'll do what I please\nI'll do it again till I've got what I need"", 'I keep swinging my hand through a swarm of bees cause I\nI want honey on my table']",Black Honey
37,Volbeat,"['Sold my soul and signed my name in blood\nStole it back, now praying in the dark']",Seal The Deal
38,Shinedown,"[""You can have the sound of a thousand voices calling your name\nYou can have the light of the world blind you, bathe you in grace\nBut I don't see so easily what you hold in your hands\n'Cause castles crumble, kingdoms fall and turn into sand"", 'No one gets out alive\nEvery day is do or die\nThe one thing you leave behind\nIs how did you love? How did you love?', ""It's not what you believe\nThose prayers will make you bleed\nBut while you're on your knees\nHow did you love? How did you love?\nHow did you love?"", 'Nothing ever feels quite the same when you are what you dreamed', 'And you will never look at anything the same when you see what I see', 'No one gets out alive', ""This ain't no cross to bury"", 'We are the judge and jury']",How Did You Love
39,Maggie Rogers,"['I was walking through icy streams\nThat took my breath away\nMoving slowly through westward water\nOver glacial plains', 'And I walked off you\nAnd I walked off an old me', ""And now, breathe deep\nI'm inhaling\nYou and I, there's air in between\nLeave me be\nI'm exhaling\nYou and I, there's air in between\nYou and I, there's air in between"", 'Cut my hair so I could rock back and forth\nWithout thinking of you', 'And I walked off you\nAnd I walked off an old me', ""And now, breathe deep\nI'm inhaling\nYou and I, there's air in between\nLeave me be\nI'm exhaling\nYou and I, there's air in between"", ""You and I, there's air in between\nYou and I, there's air in between""]",Alaska
40,Andrew McMahon In The Wilderness,"['I met up with an acrobat\nIn Brooklyn or some place like that\nWith life and taxis flying past\nWe tore that dance hall down', 'Pocket change and subway cars\nOur big ideas filled empty bars', ""You might be from the moon or Mars\nEither way, I'm never going home"", ""So, let's hang an anchor from the sun"", ""There’s a million city lights but\n\n[Chorus]\nYou're number one\nYou're the reason I’m still\nUp at dawn\nJust to see your face\nWe'll be going strong\nWith the vampires, baby\nWe belong, we belong awake"", 'Swinging from the fire escape', 'When we boarded the carousel', 'On the stage, my Oxblood friend\nWas singing songs about the end', ""The bankers in the lion's den\nWere dropping lines like beggars in the snow"", ""So, let's hang an anchor from the sun"", ""There’s a million city lights but\n\n[Chorus]\nYou're number one\nYou're the reason I’m still\nUp at dawn\nJust to see your face\nWe'll be going strong\nWith the vampires, baby\nWe belong, we belong awake"", 'Swinging from the fire escape\nSwinging from the fire escape\nSwinging from the fire escape', ""You're my number one\nYou're the reason I’m still\nUp at dawn\nJust to see your face\nWe'll be going strong\nWith the vampires, baby\nWe belong, we belong awake"", 'Swinging from the fire escape\nSwinging from the fire escape\nSwinging from the fire escape\nSwinging from the fire escape']",Fire Escape
41,Metallica,"['Hardwired to self-destruct', 'Once upon a planet burning\nOnce upon a flame']",Hardwired
42,Green Day,"['This is definitely not the first video to surface of an execution. The blue stash of men, they claimed responsibility for the executions. Described as severely mentally disturbed. It appears to show another hostage executed by the terrorist group. Deserve to be annihilated.', ""I get my kicks and I wanna start a rager\nI wanna dance like I'm on the video\nI got a fever for the violent behavior\nI'm sweatin' bullets like a modern Romeo"", 'Bang, bang, give me fame', 'Shoot me up to entertain', 'I am a semi-automatic lonely boy', ""You're dead, I'm well fed"", 'Give me death or give me head', ""Daddy's little psycho and mommy's little soldier"", 'I testify like a lullaby of memories', ""Broadcasting live and it's on my radio"", 'I got my photobomb, I got my Vietnam', 'I love a lie just like anybody else', 'Bang, bang, give me fame', 'Shoot me up to entertain', 'I am a semi-automatic lonely boy', ""You're dead, I'm well fed"", 'Give me death or give me head', ""Broadcasting from my room and playin' with my toys"", 'I wanna be a celebrity martyr', 'The leading man in my own private drama\nHoorah, bang, bang, hoorah, bang, bang, the hero of the hour', ""Daddy's little psycho and mommy's little soldier"", '[Bridge]', ""I wanna be like the soldiers on the screen\nIt's my private movie"", '(Holy War)', 'Viva Vendetta', 'World War Zero', 'I wanna be a celebrity martyr', 'The leading man in my own private drama', 'the hero of the hour', ""Daddy's little psycho and mommy's little soldier"", 'I wanna be a celebrity martyr', 'The leading man in my own private drama', 'the hero of the hour', ""Daddy's little psycho and mommy's little soldier""]",Bang Bang
43,The Lumineers,"[""When you left this town, with your windows down\nAnd the wilderness inside\nLet the exits pass, all the tar and glass\n'Til the road and sky align"", 'The strangers in this town\nThey raise you up just to cut you down', ""Oh, Angela, it's a long time coming"", 'And your Volvo lights lit up green and white\nWith the cities on the signs', 'But you held your course to some distant war\nIn the corners of your mind', 'From the second time around\nThe only love I ever found', 'Home at last', 'Were you safe and warm in your coat of arms\nWith your fingers in a fist', 'Did you hear the notes, all those static codes\nIn the radio abyss?', ""Oh Angela it's a long time coming\nOh Angela spent your whole life running away"", 'Home at last\nHome at last\nVacancy, hotel room, lost in me, lost in you', 'Angela, on my knee, I belong, I believe']",Angela
44,Jimmy Eat World,"[""Sure and certain\nWander 'til we're old\nLost and lurking\nWonder 'til we're cold"", ""Sure and certain\nWander 'til we're old\nLost and lurking\nWonder 'til we're cold"", ""Sure and certain\nWander 'til we're old\nLost and lurking\nWonder 'til we're cold"", ""Sure and certain\nWander 'til we're old\nLost and lurking\nWonder 'til we're cold""]",Sure And Certain
45,The Strumbellas,"[""Well I know it gets harder every single day\nAnd I know my darkness will never go away\n\n[Pre-Chorus]\nIt's hard when you're living and you don't feel much\nAnd you're down and you're hoping that things are gonna change"", ""Oh there's something in my mind that's killing me\nThere's something that this life's not giving me\nWould you say""]",We Don't Know
46,Mondo Cozmo,"[""Stick with me Jesus through the comin' storm"", 'I promise you I will return if you take me back', ""Shine down a light on them and show a path\nI promise you they will return if you take 'em back"", 'Shine down a light on me and let me know\nAnd take me in your arms and never let me go']",Shine
47,Catfish And The Bottlemen,"['Larry, call a load of smoke in, I wanna lose a couple days', ""We've probably never struggled coping but I never want to"", 'Promise again that I would call her', ""Forget the time 'cause I'm 7 hours behind"", ""It's probably good I didn't call though (but I always want to)"", ""And I'd beg you, but you know I'm never home\nAnd I'd love you, but I need another year alone"", ""And I've tried to ignore it every time you phone\nBut I never come close"", ""And I don't think through things, I never get time\n'Cause I don't think things through"", 'Larry, call a load of smoke in, I wanna disappear for days', ""We've probably never struggled sleeping, but I never want to"", ""I'll promise again that I would call her"", ""Forget the time 'cause I'm 7 hours behind"", ""It's probably good I didn't call though (but I always want to)"", ""And I'd beg you, but you know I'm never home\nAnd I'd love you, but I need another year alone"", ""I've tried to ignore it every time you phone\nBut I never come close"", ""I don't think through things, I never get time\n'Cause I don't think things through\nI don't think through things, I never get time\n'Cause I don't think things through"", ""And I'd beg you, but you know I'm never home\nAnd I'd love you, but I need another second to myself"", ""I've tried to ignore it every time you phone me\nBut I never come close"", ""I don't think through things, I never get time\n'Cause I don't think things through\nI don't think through things, I never get time\n'Cause I don't think things through"", ""And I'd beg you, but you know I'm never home\nAnd I'd love you, but I need another year alone"", ""I've tried to ignore it every time you phone\nBut I never come close""]",7
48,Starset,"['Under the knife I surrendered\nThe innocence yours to consume\nYou cut it away\nAnd you filled me up with hate', 'You thought I’d forget\nBut it’s always in my head', ""You're the love that I hate"", 'The monster you made me?', ""This is the world you've created\nThe product of what I've become\nMy soul and my youth\nSeems it's all for you to use"", 'If I could take back the moment\nI let you get under my skin\nRelent or resist?', 'Seems the monster always wins', ""I've made an art of digging shallow holes\nI drop the darkness in and watch it grow"", ""I am the darkness\nI'm a monster""]",Monster
49,The Lumineers,[],Blue Christmas
50,twenty one pilots,"['[Verse 1]', 'There’s an infestation in my mind’s imagination\nI hope that they choke on smoke cause I’m smoking them out the basement', 'This is not rap, this is not hip-hop\nJust another attempt to make the voices stop', 'Rapping to prove nothing, just writing to say something', 'Cause I wasn’t the only one who wasn’t rushing to saying nothing', 'This doesn’t mean I lost my dream\nIt’s just right now I got a really crazy mind to clean', 'Gangsters don’t cry\nTherefore, therefore I’m Mr. Misty-eyed, therefore I’m', '[Chorus]', 'Can you save\nCan you save my\nCan you save my heavydirtysoul?\nCan you save\nCan you save my\nCan you save my heavydirtysoul?\nFor me, for me, oh\nCan you save my heavydirtysoul?\nFor me, for me, oh\nCan you save my heavydirtysoul?', 'Nah, I didn’t understand a thing you said\nIf I didn’t know better, I\'d guess you’re all already dead\nMindless zombies walking around with a limp and a hunch\nSaying stuff like, “you only live once""', ""You've got one time to figure it out\nOne time to twist and one time to shout\nOne time to think and I say we start now\nSing it with me if you know what I’m talking about"", 'Gangsters don’t cry\nTherefore, therefore I’m Mr. Misty-eyed, therefore I’m', '[Chorus]', 'Can you save\nCan you save my\nCan you save my heavydirtysoul?\nCan you save\nCan you save my\nCan you save my heavydirtysoul?\nFor me, for me, oh\nCan you save my heavydirtysoul?\nFor me, for me, oh\nCan you save my heavydirtysoul?', 'Death inspires me like a dog inspires a rabbit\nDeath inspires me like a dog inspires a rabbit', '[Chorus]', 'Can you save\nCan you save my\nCan you save my heavydirtysoul?\nCan you save\nCan you save my\nCan you save my heavydirtysoul?\nFor me, for me, oh\nCan you save my heavydirtysoul?\nFor me, for me, oh\nCan you save my heavydirtysoul?', '[Outro]', 'Can you save\nCan you save my, save my\nCan you save my heavydirtysoul?\nCan you save\nCan you save save my, save my\nCan you save my heavydirtysoul?']",Heavydirtysoul
